Category Type,Category,Item Name,Status,Lives in Trailer,Checked,Packed,Taking,Last Updated
OPTIONAL,"Personal Items","Shoes",OK,Yes,No,No,No,3110
OPTIONAL,"Personal Items","Sunblock",OK,Yes,No,No,No,3110
OPTIONAL,"Personal Items","Toiletries",OK,Yes,No,No,No,3110
OPTIONAL,"Sleep and Comfort","Beach towels",OK,Yes,No,No,No,3110
OPTIONAL,"Sleep and Comfort","Duvet",OK,Yes,No,No,No,3110
OPTIONAL,"Sleep and Comfort","Duvet Cover",OK,Yes,No,No,No,3110
OPTIONAL,"Sleep and Comfort","Pillows",OK,Yes,No,No,No,3110
OPTIONAL,"Safety and Fun","Bikes/helmets",OK,Yes,No,No,No,3112
OPTIONAL,"Safety and Fun","Boat and ore",OK,Yes,No,No,No,3112
OPTIONAL,"Safety and Fun","Books",OK,Yes,No,No,No,3112
OPTIONAL,"Safety and Fun","Buckets",OK,Yes,No,No,No,3112
OPTIONAL,"Safety and Fun","First aid",OK,Yes,No,No,No,3112
OPTIONAL,"Safety and Fun","Life jacket",OK,Yes,No,No,No,3112
OPTIONAL,"Safety and Fun","Meds",OK,Yes,No,No,Yes,3112
OPTIONAL,"Safety and Fun","Toys",OK,Yes,No,No,No,3112
OPTIONAL,"Safety and Fun","Walkie Talkies + chargers",OK,Yes,No,No,No,3112
UNKNOWN,"Shelter and Setup","2 Man Tent + Poles",OK,Yes,No,No,No,3112
UNKNOWN,"Shelter and Setup","4 Man tent + poles",OK,Yes,No,No,No,3113
UNKNOWN,"Shelter and Setup","Ground sheets",OK,Yes,Yes,Yes,Yes,3113
UNKNOWN,"Shelter and Setup","Nylon Tent + Poles",OK,Yes,No,No,No,3113
UNKNOWN,"Shelter and Setup","Pop-up gazebo + ground sheets",OK,Yes,No,No,Yes,3113
UNKNOWN,"Shelter and Setup","Windbreak",OK,Yes,No,No,No,3113
UNKNOWN,"Extra Furniture","Hammock",OK,Yes,Yes,Yes,Yes,3114
UNKNOWN,"Extra Furniture","Large foldup table",OK,Yes,No,No,Yes,3114
UNKNOWN,"Extra Furniture","Small tables",OK,Yes,Yes,Yes,Yes,3114
UNKNOWN,"Extra Furniture","Table + Benches",OK,Yes,No,No,Yes,3114
UNKNOWN,"Cooking Extras","Braai Grid - Large Flat",OK,Yes,No,No,No,3114
UNKNOWN,"Cooking Extras","Cast Iron Bread Maker",OK,Yes,Yes,Yes,Yes,3115
UNKNOWN,"Cooking Extras","Pizza Oven + Plates",OK,Yes,No,No,No,3115
UNKNOWN,"Cooking Extras","Potjie + accessories",OK,Yes,No,No,Yes,3115
UNKNOWN,"Cooking Extras","Potjie Stand",OK,Yes,No,No,Yes,3115
UNKNOWN,"Extra Lighting","Solar Jars",OK,Yes,No,No,No,3116
UNKNOWN,"Extra Lighting","Torches",OK,Yes,No,No,No,3116
UNKNOWN,"Gear and Storage","Backpacks",OK,Yes,No,No,No,3116
UNKNOWN,"Gear and Storage","Cooler Box",OK,Yes,No,No,Yes,3116
UNKNOWN,"Gear and Storage","Floaties",OK,Yes,No,No,Yes,3116
UNKNOWN,"Gear and Storage","Games",OK,Yes,No,No,Yes,3116
OPTIONAL,"Kitchen Extras","Coffee grinder",OK,Yes,No,No,Yes,3116
OPTIONAL,"Kitchen Extras","Extra pot",OK,Yes,No,No,Yes,3117
